,Location,Price,Sqft,Bath,Bed,Street,zipcode
430,"2149 Barton Hills Dr, Austin, TX 78704",1135000.0,1697,2,4,2149 Barton Hills Dr, 78704
431,"3101 Mohawk Rd, Austin, TX 78757",693000.0,2206,2,3,3101 Mohawk Rd, 78757
432,"18409 Deleon Bayou Ln, Austin, TX 78738",580000.0,1945,2,3,18409 Deleon Bayou Ln, 78738
433,"4414 Avenue D, Austin, TX 78751",725000.0,1238,2,3,4414 Avenue D, 78751
434,"2206 Indian Trl, Austin, TX 78703",1550000.0,1728,2,2,2206 Indian Trl, 78703
435,"6102 Thames Dr, Austin, TX 78723",799990.0,2518,3,3,6102 Thames Dr, 78723
436,"4502 Bennett Ave, Austin, TX 78751",900000.0,1700,2,3,4502 Bennett Ave, 78751
437,"5800 Copse Ct #103, Austin, TX 78744",415000.0,1931,3,4,5800 Copse Ct #103, 78744
438,"4616 Sidereal Dr, Austin, TX 78727",479000.0,1573,2,3,4616 Sidereal Dr, 78727
439,"7905 Mesa Trails Cir, Austin, TX 78731",797700.0,2614,3,3,7905 Mesa Trails Cir, 78731
440,"4529 Avenue C, Austin, TX 78751",1075000.0,1516,2,3,4529 Avenue C, 78751
441,"3019 Val Dr, Austin, TX 78723",629000.0,1922,2,3,3019 Val Dr, 78723
442,"2529 McDonald Way, Austin, TX 78754",393000.0,1346,2,3,2529 McDonald Way, 78754
443,"5812 Loblolly Ln #93, Austin, TX 78744",339500.0,1062,2,2,5812 Loblolly Ln #93, 78744
444,"441 Santaluz Ln, Austin, TX 78732",1950000.0,4432,5,4,441 Santaluz Ln, 78732
445,"14412 Cochise Trl, Austin, TX 78734",899900.0,2155,3,4,14412 Cochise Trl, 78734
446,"1312 Delano St, Austin, TX 78721",495000.0,1660,2,3,1312 Delano St, 78721
447,"1601 Lightsey Rd #1, Austin, TX 78704",1599000.0,2496,3,4,1601 Lightsey Rd #1, 78704
448,"5712 Baythorne Dr, Austin, TX 78747",435000.0,1474,3,3,5712 Baythorne Dr, 78747
449,"96 San Marcos St, Austin, TX 78702",499460.0,611,1,1,96 San Marcos St, 78702
450,"3115 Ski Shores Ter, Austin, TX 78730",5100000.0,2414,2,3,3115 Ski Shores Ter, 78730
451,"15516 Prestancia Dr, Austin, TX 78717",895000.0,3404,3,4,15516 Prestancia Dr, 78717
452,"1307 Neans Dr, Austin, TX 78758",529000.0,1693,2,3,1307 Neans Dr, 78758
453,"2301 Golden Gate Park, Austin, TX 78732",719000.0,2833,3,4,2301 Golden Gate Park, 78732
454,"5204 Pony Chase, Austin, TX 78727",1450000.0,3770,3,4,5204 Pony Chase, 78727
455,"6709 Midwood Pkwy, Austin, TX 78736",975000.0,2880,3,4,6709 Midwood Pkwy, 78736
456,"3705 Caney Creek Rd, Austin, TX 78732",769000.0,3551,4,5,3705 Caney Creek Rd, 78732
457,"8701 Old Corral Cv, Austin, TX 78737",899900.0,3272,4,4,8701 Old Corral Cv, 78737
458,"3309 Oxsheer Dr, Austin, TX 78732",925000.0,3165,3,5,3309 Oxsheer Dr, 78732
