Location,Price,Sq. ft.,Ba,Br,Link
"2408 Braxton Cv, Austin, TX 78741","$350,000 ",990 sqft,1 ba,2 bds,https://www.zillow.com/homedetails/2408-Braxton-Cv-Austin-TX-78741/29462916_zpid/
"411 W Saint Elmo Rd APT 9, Austin, TX 78745","$550,000 ","1,713 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/411-W-Saint-Elmo-Rd-APT-9-Austin-TX-78745/70334818_zpid/
"164 Spyglass Cv, Austin, TX 78737","$860,000 ","3,271 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/164-Spyglass-Cv-Austin-TX-78737/122187923_zpid/
"5415 Claymoor Dr, Austin, TX 78723","$539,000 ","1,830 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5415-Claymoor-Dr-Austin-TX-78723/29398577_zpid/
"Adams Plan, Sunfield","$269,990+","1,207 sqft",2 ba,3 bds,https://www.zillow.com/community/sunfield/2083958093_zpid/
"11807 Eubank Dr, Austin, TX 78758","$599,999 ","1,678 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/11807-Eubank-Dr-Austin-TX-78758/58304366_zpid/
"3101 Crowheart Cv, Austin, TX 78746","$1,749,000 ","4,050 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/3101-Crowheart-Cv-Austin-TX-78746/29340581_zpid/
"2521 National Park Blvd, Austin, TX 78747","$419,000 ","1,928 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/2521-National-Park-Blvd-Austin-TX-78747/70343766_zpid/
"15905 Kiawah Island Dr, Austin, TX 78717","$1,180,000 ","3,721 sqft",4 ba,5 bds,https://www.zillow.com/homedetails/15905-Kiawah-Island-Dr-Austin-TX-78717/60335867_zpid/
"4225 Iriona Bnd, Austin, TX 78749","$475,000 ","1,782 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/4225-Iriona-Bnd-Austin-TX-78749/29499390_zpid/
"11508 Citrus Cv, Austin, TX 78750","$975,000 ","3,077 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/11508-Citrus-Cv-Austin-TX-78750/29374049_zpid/
"8610 Fireside Dr, Austin, TX 78757","$379,000 ","1,674 sqft",#NAME?,#NAME?,https://www.zillow.com/homedetails/8610-Fireside-Dr-Austin-TX-78757/29427329_zpid/
"5507 Hudson Hol Cv, Austin, TX 78759","$886,997 ","2,488 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/5507-Hudson-Hol-Cv-Austin-TX-78759/2058221849_zpid/
"2221 Golden Gate Park, Austin, TX 78732","$740,000 ","2,616 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/2221-Golden-Gate-Park-Austin-TX-78732/83829884_zpid/
"9307 Privet Dr, Austin, TX 78748","$525,000 ","1,692 sqft",3 ba,3 bds,https://www.zillow.com/homedetails/9307-Privet-Dr-Austin-TX-78748/2091875245_zpid/
"9006 Frostwood Trl, Austin, TX 78729","$539,000 ","2,008 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/9006-Frostwood-Trl-Austin-TX-78729/29572479_zpid/
"15113 Bigelow Dr, Austin, TX 78724","$284,900 ","1,079 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/15113-Bigelow-Dr-Austin-TX-78724/63835442_zpid/
"11401 Sweet Basil Ct, Austin, TX 78726","$725,000 ","2,246 sqft",2 ba,4 bds,https://www.zillow.com/homedetails/11401-Sweet-Basil-Ct-Austin-TX-78726/29376622_zpid/
"7611 Northcrest Blvd, Austin, TX 78752","$525,000 ","1,408 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/7611-Northcrest-Blvd-Austin-TX-78752/29417537_zpid/
"5000 Lynnwood St, Austin, TX 78756","$1,189,000 ","2,083 sqft",2 ba,3 bds,https://www.zillow.com/homedetails/5000-Lynnwood-St-Austin-TX-78756/29409049_zpid/
"7808 Callbram Ln, Austin, TX 78736","$637,000 ","2,582 sqft",3 ba,4 bds,https://www.zillow.com/homedetails/7808-Callbram-Ln-Austin-TX-78736/29479428_zpid/
"6012 Cimarron Ridge Ln, Austin, TX 78738","$925,000 ","2,876 sqft",4 ba,4 bds,https://www.zillow.com/homedetails/6012-Cimarron-Ridge-Ln-Austin-TX-78738/331620763_zpid/
"7425 Jaborandi Dr, Austin, TX 78739","$1,068,000 ","3,680 sqft",4 ba,5 bds,https://www.zillow.com/homedetails/7425-Jaborandi-Dr-Austin-TX-78739/70346168_zpid/
